id,amount,label,type,date
5dc9cf2b-a78a-4b93-8c50-c898e1dd5597,15000,House Rent,Housing,12-08-2023
540cfab1-9328-45d5-b707-179163e39a8b,5000,Gas,Transportation,12-08-2023
fdc60f7b-961b-44bd-85b0-ef2ea0256296,7500,Ration and Groceries,Food,12-08-2023
a4f0927b-f094-410c-9132-c39ee78c1554,2000,Maid Salary,Utilities,12-08-2023
9fa568c1-3628-4e62-8f66-1567950a0494,2500,Medication,Medical/Healthcare,12-08-2023
5a0d97e6-92f1-4f44-ab4f-7fca4bf95f26,3000,Policies,Insurance,12-08-2023
63f2c344-3d28-4e57-b96b-e6789b1e20a4,4000,Subscriptions,Entertainment,12-08-2023
d2f021a6-1576-47f5-888f-29d949dd6a22,4000,Uniform,Clothing,13-08-2023
d295bf27-e31e-4bda-a62c-343013753704,5000,Crockery,Household Items/Supplies,13-08-2023
91820a6c-6111-428b-80f7-f3981ee6cc6c,10000,Loan,Personal,13-08-2023
5cc12de9-9b21-45b2-b5fc-547c9e97cf93,2500,Policies,Personal,13-08-2023
